date,rating_today_above,rating_today_near,rating_today_below
1/28/2017,2,2,2
1/29/2017,2,2,2
1/30/2017,2,2,2
1/31/2017,2,2,2
2/1/2017,2,2,2
2/2/2017,2,2,2
2/3/2017,2,1,1
2/4/2017,2,2,1
2/5/2017,2,2,1
2/6/2017,2,2,1
2/7/2017,2,2,2
2/8/2017,3,3,2
2/9/2017,2,2,2
2/10/2017,2,2,3
2/11/2017,2,2,2
2/12/2017,2,2,2
2/13/2017,2,2,1
2/14/2017,2,2,1
2/15/2017,2,2,2
2/16/2017,2,2,1
2/17/2017,1,1,1
2/18/2017,1,1,1
2/19/2017,1,1,1
2/20/2017,2,2,1
2/21/2017,2,2,1
2/22/2017,2,2,1
2/23/2017,2,2,1
2/24/2017,2,2,1
2/25/2017,2,2,1
2/26/2017,2,2,1
2/27/2017,2,2,1
2/28/2017,2,2,2
3/1/2017,2,2,2
