date,air_temp_low_24_hour,air_temp_high_24_hour,precip_accum_24_hour
2/20/2014,-2.9,4.9,0.254
2/20/2015,-9.3,3.5,0.0
2/20/2016,-7.4,6.4,6.35
2/20/2017,-5.1,8.2,0.762
2/21/2014,-13.3,5.0,4.064
2/21/2015,-10.8,5.9,3.302
2/21/2016,-13.1,6.0,0.0
2/21/2017,-5.2,5.7,5.334
2/22/2014,-18.0,-9.2,0.0
2/22/2015,-10.2,0.4,1.778
2/22/2016,-8.2,6.2,0.0
2/22/2017,-10.9,3.0,14.478
2/23/2014,-11.8,-2.6,0.0
2/23/2015,-13.6,-0.5,0.508
2/23/2016,-9.9,6.1,0.0
2/23/2017,-5.0,7.6,0.0
2/24/2014,-8.1,-4.0,1.778
2/24/2015,-14.6,-6.5,11.684
2/24/2016,-9.9,-1.2,0.508
2/24/2017,-1.4,6.2,0.0
2/25/2014,-7.0,4.3,0.0
2/25/2015,-14.0,3.4,0.0
2/25/2016,-18.2,-1.6,0.0
2/25/2017,-14.5,-0.6,0.508
2/26/2014,-5.5,5.4,0.0
2/26/2015,-16.4,4.9,0.254
2/26/2016,-18.4,1.5,0.0
2/26/2017,-16.2,-8.3,1.778
2/27/2014,-4.2,6.0,0.254
2/27/2015,-13.7,-1.2,0.0
2/27/2016,-14.0,4.7,0.0
2/27/2017,-22.0,-10.0,0.254
2/28/2014,-9.5,3.2,0.0
2/28/2015,-19.4,-5.1,0.0
2/28/2016,-9.9,7.7,0.0
2/28/2017,-22.9,-4.1,0.0
2/29/2016,-8.9,7.9,0.0
2/3/2014,-18.8,-6.1,0.254
2/3/2015,-14.1,-3.4,1.524
2/3/2016,-13.5,-2.3,5.334
2/3/2017,-4.5,5.2,0.508
2/4/2014,-24.1,-0.6,0.0
2/4/2015,-8.7,-1.6,4.826
2/4/2016,-19.8,-9.1,0.0
2/4/2017,-6.6,-0.6,0.762
2/5/2014,-17.9,-3.0,0.508
2/5/2015,-7.4,4.2,19.812
2/5/2016,-22.7,-13.0,0.0
2/5/2017,-11.2,4.5,0.0
2/6/2014,-18.0,-6.2,0.762
2/6/2015,-3.6,0.1,2.286
2/6/2016,-23.6,-6.3,0.0
2/6/2017,-9.4,2.3,0.0
2/7/2014,-23.2,-7.0,0.0
2/7/2015,-7.3,5.8,0.0
2/7/2016,-18.7,-6.1,0.0
2/7/2017,-9.3,5.9,0.0
2/8/2014,-13.3,-7.5,0.762
2/8/2015,-7.7,9.7,0.0
2/8/2016,-18.3,1.0,0.254
2/8/2017,-6.0,1.7,3.302
2/9/2015,-5.9,8.9,0.0
2/9/2016,-11.3,0.4,0.0
2/9/2017,-3.8,1.2,9.906
3/1/2014,-8.4,3.3,4.826
3/1/2015,-16.3,-3.3,0.0
3/1/2016,-10.0,6.2,0.0
3/1/2017,-17.1,0.2,0.254
3/10/2014,-12.6,2.4,0.0
3/10/2015,-9.9,6.5,0.0
3/10/2016,-14.4,4.1,0.0
3/11/2014,-13.1,9.5,0.0
3/11/2015,-11.1,5.2,0.0
3/11/2016,-14.1,3.3,0.0
3/12/2014,-8.6,11.0,5.08
3/12/2015,-10.4,7.9,0.0
3/12/2016,-10.9,7.8,0.0
3/13/2014,-18.0,0.9,0.254
3/13/2015,-9.9,9.1,0.0
3/13/2016,-5.8,13.2,0.0
3/14/2014,-19.8,4.2,0.0
3/14/2015,-4.8,7.8,1.016
3/14/2016,-2.3,8.7,0.0
3/15/2014,-14.1,4.3,0.0
3/15/2015,-7.2,4.9,0.0
3/15/2016,-5.3,5.6,5.334
3/16/2014,-12.3,6.2,1.27
3/16/2015,-10.0,9.6,0.0
3/16/2015,-10.0,9.6,0.0
3/16/2015,-10.0,9.6,0.0
3/16/2015,-10.0,9.6,0.0
3/16/2015,-10.0,9.6,0.0
3/16/2015,-10.0,9.6,0.0
3/16/2015,-10.0,9.6,0.0
3/16/2015,-10.0,9.6,0.0
3/16/2016,-7.3,2.4,8.128
3/17/2014,-13.4,-2.4,0.0
3/17/2015,-4.9,14.7,0.0
3/17/2016,-11.5,-4.1,7.874
3/18/2014,-13.1,5.2,0.0
3/18/2015,-2.9,13.2,0.0
3/18/2016,-11.6,-4.0,2.54
3/19/2014,-11.3,6.9,4.826
3/19/2015,-3.2,12.8,0.508
3/19/2016,-8.5,1.2,5.334
3/2/2014,-4.6,3.0,13.208
3/2/2015,-18.4,-0.3,4.572
3/2/2016,-9.4,5.4,0.0
3/20/2014,-12.0,-2.7,0.0
3/20/2015,-1.4,8.1,1.524
3/20/2016,-13.9,-0.5,0.0
3/21/2014,-13.9,2.4,0.0
3/21/2015,-8.1,4.4,0.0
3/21/2016,-15.3,0.4,3.556
3/22/2014,-14.9,7.0,0.0
3/22/2015,-9.8,9.6,0.0
3/22/2016,-15.7,6.6,0.254
3/23/2014,-10.1,5.1,3.81
3/23/2015,-7.1,10.5,0.0
3/23/2016,-6.7,11.3,0.0
3/24/2014,-15.1,2.6,0.0
3/24/2015,-5.9,10.0,0.0
3/24/2016,-4.9,8.1,5.588
3/25/2014,-15.5,3.5,0.0
3/25/2015,-3.9,8.5,9.398
3/25/2016,-7.8,-3.2,0.508
3/26/2014,-6.5,3.4,0.0
3/26/2015,-7.7,4.7,10.922
3/26/2016,-8.6,0.5,0.0
3/27/2014,-10.4,9.8,0.0
3/27/2015,-11.7,-0.4,0.0
3/27/2016,-16.3,-0.7,0.0
3/28/2014,-5.0,6.2,10.16
3/28/2015,-12.4,5.3,0.0
3/28/2016,-19.1,-3.1,0.0
3/29/2014,-7.8,1.0,10.668
