date,rating_today_above,rating_today_near,rating_today_below,precip_accum_24_hour,day_of_year
2/7/2016,2,2,2,0.0,38
2/7/2017,2,2,2,0.0,38
2/8/2014,4,4,3,0.762,39
2/8/2015,2,2,1,0.0,39
2/8/2016,2,2,2,0.254,39
2/8/2017,3,3,2,3.302,39
2/9/2014,4,4,3,4.572,40
2/9/2015,2,2,1,0.0,40
2/9/2016,2,2,2,0.0,40
2/9/2017,2,2,2,9.906,40
3/1/2014,3,3,2,4.826,60
3/1/2015,3,3,2,0.0,60
3/1/2016,1,1,1,0.0,61
3/1/2017,2,2,2,0.254,60
3/10/2014,2,2,2,0.0,69
3/10/2015,2,2,2,0.0,69
3/10/2016,2,2,2,0.0,70
3/11/2014,2,2,2,0.0,70
3/11/2015,2,2,2,0.0,70
3/11/2016,2,2,2,0.0,71
3/12/2014,2,2,2,5.08,71
3/12/2015,2,2,1,0.0,71
3/12/2016,1,1,1,0.0,72
3/13/2014,2,2,1,0.254,72
3/13/2015,2,2,1,0.0,72
3/13/2016,1,1,1,0.0,73
3/14/2014,2,2,1,0.0,73
3/14/2015,2,2,1,1.016,73
3/14/2016,1,1,1,0.0,74
3/15/2014,2,2,1,0.0,74
3/15/2015,2,2,1,0.0,74
3/15/2016,3,3,3,5.334,75
3/16/2014,2,2,1,1.27,75
3/16/2015,1,1,1,0.0,75
3/16/2015,1,1,1,0.0,75
3/16/2015,1,1,1,0.0,75
3/16/2015,1,1,1,0.0,75
3/16/2015,1,1,1,0.0,75
3/16/2015,1,1,1,0.0,75
3/16/2015,1,1,1,0.0,75
3/16/2015,1,1,1,0.0,75
3/16/2015,2,2,2,0.0,75
3/16/2015,2,2,2,0.0,75
3/16/2015,2,2,2,0.0,75
3/16/2015,2,2,2,0.0,75
3/16/2015,2,2,2,0.0,75
3/16/2015,2,2,2,0.0,75
3/16/2015,2,2,2,0.0,75
3/16/2015,2,2,2,0.0,75
3/16/2016,3,3,3,8.128,76
3/17/2014,2,2,1,0.0,76
3/17/2015,2,2,2,0.0,76
3/17/2016,3,3,2,7.874,77
3/18/2014,2,2,1,0.0,77
3/18/2015,2,2,2,0.0,77
3/18/2016,3,3,2,2.54,78
3/19/2014,2,2,1,4.826,78
3/19/2015,2,2,2,0.508,78
3/19/2016,3,3,2,5.334,79
3/2/2014,3,3,2,13.208,61
3/2/2015,3,3,2,4.572,61
3/2/2016,1,1,1,0.0,62
3/20/2014,2,2,1,0.0,79
3/20/2015,2,2,2,1.524,79
3/20/2016,3,3,2,0.0,80
3/21/2014,2,2,1,0.0,80
3/21/2015,2,2,3,0.0,80
3/21/2016,2,2,2,3.556,81
3/22/2014,2,2,1,0.0,81
3/22/2015,2,2,3,0.0,81
3/22/2016,2,2,2,0.254,82
3/23/2014,2,2,1,3.81,82
3/23/2015,2,2,2,0.0,82
3/23/2016,3,3,2,0.0,83
3/24/2014,2,2,1,0.0,83
3/24/2015,2,1,1,0.0,83
3/24/2016,3,3,2,5.588,84
3/25/2014,2,2,1,0.0,84
3/25/2015,2,1,1,9.398,84
3/25/2016,3,3,2,0.508,85
3/26/2014,2,2,1,0.0,85
3/26/2015,2,1,1,10.922,85
3/26/2016,3,3,2,0.0,86
3/27/2014,3,2,2,0.0,86
3/27/2015,2,1,2,0.0,86
3/27/2016,2,2,2,0.0,87
3/28/2014,3,3,2,10.16,87
3/28/2015,1,2,2,0.0,87
3/28/2016,2,2,1,0.0,88
3/29/2014,3,3,2,10.668,88
3/29/2015,1,2,2,0.0,88
